SimID,FactorSimID,Similarity,OverlapAssets,OverlapCount,Return_Traditional,Sharpe_Traditional,Return_Factor,Sharpe_Factor
3126,2115,0.6,"EFA,FLPSX,JUEAX,MACSX,SWPPX,VBIRX",6,0.1193717589776662,0.8243009618996435,0.1285167701119789,0.7866870665354398
56,4956,0.6,"FLPSX,IJS,IJT,JUEAX,VBIRX,YACKX",6,0.1438463318636784,0.8211061382027346,0.1232630830448227,0.8241460212335173
56,747,0.6,"EWW,FLPSX,IJT,JUEAX,VBIRX,YACKX",6,0.1438463318636784,0.8211061382027346,0.130365657185883,0.8267635812716183
56,137,0.6,"EWW,FLPSX,IJT,JUEAX,VBIRX,YACKX",6,0.1438463318636784,0.8211061382027346,0.1072371554792643,0.7204702389461415
1101,2505,0.6,"MACSX,QQQ,VBIRX",3,0.1104199985023798,0.8189828395606369,0.0923669207479846,0.7998910370476923
2997,398,0.6666666666666666,"SLYV,VFIAX,VTRIX,YACKX",4,0.1372770345706989,0.8184354143747711,0.124966974378557,0.9182938698397748
3705,2542,0.625,"EWG,MACSX,MASKX,SPY,TGINX",5,0.1210944974426329,0.8181816295717566,0.0904630745628619,0.6950952786613538
3705,666,0.6,"EWG,MACSX,MASKX,SPY,TGINX,VGENX",6,0.1210944974426329,0.8181816295717566,0.1055596901634907,0.7127759618422449
2245,2637,0.8571428571428571,"MACSX,SLYV,SPY,VBIRX,VFIAX,VVIAX",6,0.1124436259007555,0.8147942853673241,0.0964998915022678,0.7617653118355309
3085,304,0.6,"FLPSX,IJS,TGINX",3,0.1234664577669641,0.8146664547873418,0.122216820797752,0.8088522926771918
3085,2576,0.6,"FLPSX,IJS,TGINX",3,0.1234664577669641,0.8146664547873418,0.0923101453320947,0.7289681305828519
2669,1299,0.6666666666666666,"JUEAX,MACSX,SWPPX,SWSSX,VBIRX,VTI",6,0.1141476396725327,0.8145875833624842,0.1118103093480158,0.7300905821628909
3820,684,0.6666666666666666,"EWU,VBIRX,VTSAX,YACKX",4,0.1315591979036202,0.8143082860017413,0.1166668878242846,0.8018790417011428
2884,2814,0.6363636363636364,"FLPSX,IJT,SLYV,SPY,TGINX,VTRIX,YACKX",7,0.1434869515730005,0.8138499504267688,0.1205998732613205,0.7556323088773809
4370,507,0.7142857142857143,"IJS,IVV,JUEAX,MACSX,MASKX,MDY,SPY,SWPPX,VBIRX,YACKX",10,0.1116110900530185,0.8125091305490008,0.1215989437240185,0.7930920213367267
2928,4836,0.8,"MACSX,MDY,SWSSX,YACKX",4,0.1397196786551604,0.8121093195772985,0.1366330554627219,0.8027425396488733
4727,1177,0.6153846153846154,"EWW,FEMKX,JUEAX,MDY,SLYV,TGINX,VBIRX,VFIAX",8,0.1232733991333202,0.8117664330171201,0.0993793908265076,0.7133974600237614
3766,668,0.6666666666666666,"JUEAX,SLYV,TGINX,VBIRX,VVIAX,YACKX",6,0.0775521286863856,0.8117134770805571,0.0988159414763144,0.8579974447995945
6,302,0.6,"EWU,FEMKX,MACSX,SPY,TGINX,VBIRX,VTRIX,VTSAX,YACKX",9,0.0977967589679709,0.8098907337289751,0.1101759419845689,0.801422636470877
2888,1571,0.6363636363636364,"FLPSX,IJT,JUEAX,MACSX,SPY,VBIRX,VGENX",7,0.1389364150654203,0.8094076121148197,0.1092121631683274,0.8136195196722212
3013,1320,0.625,"MDY,TGINX,VGSLX,VTRIX,YACKX",5,0.1269450240314701,0.8093097141077096,0.1371086646414422,0.8112074394038501
3013,2015,0.6363636363636364,"FLPSX,MDY,QQQ,TGINX,VGSLX,VTRIX,YACKX",7,0.1269450240314701,0.8093097141077096,0.1139559124429728,0.7463136374163856
662,1271,0.6,"JUEAX,VVIAX,YACKX",3,0.117825821704826,0.8088757226208243,0.1450494309474507,0.8017821456319325
488,2516,0.6,"MASKX,TGINX,VVIAX",3,0.1268817122735185,0.8082741144466924,0.0785020786173107,0.7183475430756976
488,3905,0.6666666666666666,"MASKX,TGINX,VVIAX,YACKX",4,0.1268817122735185,0.8082741144466924,0.118186399911085,0.7501051125543551
488,1152,0.6,"MASKX,TGINX,VVIAX",3,0.1268817122735185,0.8082741144466924,0.0911492529866454,0.6910423619873659
1082,302,0.6,"FEMKX,MACSX,MASKX,SPY,TGINX,VGENX,VTRIX,VTSAX,YACKX",9,0.1342312297182798,0.8071819407837858,0.1101759419845689,0.801422636470877
1082,4626,0.6666666666666666,"FLPSX,MACSX,SPY,TGINX,VGENX,VTI,VTRIX,VTSAX",8,0.1342312297182798,0.8071819407837858,0.1271389105973103,0.816450736544412
4597,2818,0.6,"IJS,SWSSX,TGINX",3,0.1316729863149879,0.8064746699944585,0.0808535520183267,0.7353668368475114
4597,304,0.6,"FLPSX,IJS,TGINX",3,0.1316729863149879,0.8064746699944585,0.122216820797752,0.8088522926771918
4597,2576,0.6,"FLPSX,IJS,TGINX",3,0.1316729863149879,0.8064746699944585,0.0923101453320947,0.7289681305828519
3618,1665,0.8,"EWW,MACSX,MDY,YACKX",4,0.1354596501507132,0.8059171644078019,0.1228096337211775,0.7230360824747544
2613,3304,0.6,"EWU,FLPSX,JUEAX,SLYV,TGINX,VBIRX",6,0.1020551358271463,0.8050806380593809,0.1113696044061212,0.8945461351107243
2613,4374,0.6666666666666666,"EWU,EWW,JUEAX,QQQ,TGINX,VBIRX",6,0.1020551358271463,0.8050806380593809,0.0964266946272675,0.7186547929358083
3191,4000,0.625,"FEMKX,FLPSX,JUEAX,VVIAX,YACKX",5,0.1499336124866592,0.8047403531473166,0.1474285796168698,0.8284212780741267
2167,1742,0.625,"EWW,FLPSX,MACSX,TGINX,VFIAX",5,0.1186642470172711,0.8046932959531757,0.1219336632000504,0.9861226900969856
2167,3898,0.7777777777777778,"EWW,FLPSX,IWM,MACSX,SPY,TGINX,VFIAX",7,0.1186642470172711,0.8046932959531757,0.123847917519198,0.7629531012035312
2167,1077,0.6,"FLPSX,IWM,MACSX,SPY,TGINX,VFIAX",6,0.1186642470172711,0.8046932959531757,0.1155889390244086,0.7438065724642555
4440,3278,0.6666666666666666,"FLPSX,IJT,IVV,JUEAX,MACSX,QQQ,VBIRX,VGENX",8,0.1335410002975992,0.8029736207829109,0.1235472648056882,0.889477396340953
