PortfolioID,AnnualReturn,Volatility,Sharpe,Assets,Weights
28,0.08853511940686123,0.11036942061006401,0.8021707364004064,"MACSX,VBIRX,VGENX","0.20911164703279034,0.4328951956482312,0.35799315731897835"
29,0.09811429012207876,0.1355895190744322,0.7236126419787555,"EWU,SWPPX,TGINX,YACKX","0.2639771283583911,0.2683550129102476,0.3216540809498893,0.146013777781472"
30,0.12146710689222907,0.1383964042600602,0.8776753091357826,"SWSSX,VBIRX,VGENX,YACKX","0.2495264500349795,0.2914701044921116,0.17645319751145502,0.28255024796145395"
31,0.09954503131808508,0.15220754442219592,0.6540085230070156,"SWSSX,VBIRX,YACKX","0.6205217384779574,0.3661792360940325,0.013299025428009845"
32,0.11235940963430108,0.17645863938050702,0.6367464354749703,"MACSX,VBIRX,VGENX","0.08436126242755235,0.2555891387649584,0.6600495988074894"
33,0.12222838806779072,0.1409048195451599,0.8674535651963033,"EWG,FLPSX,MACSX","0.0531039373386223,0.033824330632286424,0.9130717320290913"
34,0.16923092084980648,0.1621442723753235,1.0437058205674954,"FLPSX,IWM,MACSX,YACKX","0.37439626375676854,0.1172446560830763,0.14929559157228312,0.3590634885878719"
35,0.10155755238311877,0.09985434171644796,1.0170569515295322,"SWSSX,VBIRX,YACKX","0.22030024047426744,0.4708474507661275,0.30885230875960507"
36,0.08731699228888422,0.11278346110461805,0.7742003254172958,"MACSX,VBIRX,VGENX","0.16022453438503678,0.45286773542037534,0.3869077301945878"
37,0.1346876125833588,0.1318895341666046,1.0212153180647345,"FEMKX,TGINX,YACKX","0.22548648290377157,0.28999418720409376,0.48451932989213475"
38,0.10100070784360611,0.14484835467359544,0.6972858481630902,"EWU,TGINX,VTI,YACKX","0.4099373704721056,0.28270847437431873,0.09331663073589672,0.21403752441767887"
39,0.15443476434639566,0.16427963172898677,0.9400725015086944,"FLPSX,IWM,MACSX,YACKX","0.20208628763808995,0.25310957211670093,0.21251741045978645,0.3322867297854227"
40,0.09298523995496,0.10400086618671003,0.8940813991685995,"EFA,FLPSX,JUEAX,MACSX,QQQ,SWPPX,TGINX,VBIRX","0.09463561919345319,0.05148841449878217,0.05814995087764281,0.13766518901310718,0.11048896007239487,0.12798097114769047,0.20158182357104076,0.21800907162588842"
41,0.12447303162234584,0.10734881970677262,1.1595193311146657,"IJT,MACSX,TGINX,YACKX","0.011203451767337103,0.31700480804738396,0.3211757094990547,0.35061603068622427"
42,0.1107903952402959,0.13865281939564827,0.7990489895784487,"IJT,JUEAX,MACSX,TGINX","0.3124678284946366,0.27890699122800644,0.051776687032243564,0.35684849324511336"
43,0.14819216317513412,0.1896765837777998,0.7812886557928342,"EWG,FLPSX,MACSX","0.3752604790584251,0.5311375585426823,0.09360196239889251"
44,0.12662806534886442,0.1720388691438238,0.7360433486865335,"MACSX,VTI,YACKX","0.12024092408014034,0.7152543828320421,0.16450469308781754"
45,0.08837226530012776,0.10073796189765302,0.8772488904422301,"EWU,TGINX,VTI,YACKX","0.19138057269299869,0.5824523464151778,0.05282899721414781,0.17333808367767561"
46,0.1261601065095594,0.15054132927345254,0.8380429953584002,"FEMKX,MACSX,YACKX","0.2883853782158588,0.6235863791172809,0.08802824266686032"
47,0.11285085426332578,0.10166107368593433,1.1100694707588914,"FLPSX,MACSX,TGINX","0.22920328048597946,0.39110186592406504,0.3796948535899555"
48,0.131787088218175,0.1923781270123209,0.6850419549501834,"EWG,FLPSX,MACSX","0.4956052844053095,0.329670593491263,0.17472412210342747"
49,0.14119536719482975,0.13996795801641315,1.0087692154390984,"FLPSX,MACSX,TGINX,VGENX","0.3274573663074222,0.4727054510684689,0.07825623492076368,0.12158094770334506"
50,0.1380607375806359,0.19409476429064954,0.7113058308666955,"EWG,FLPSX,MACSX","0.46805495109175166,0.4131464862783791,0.11879856262986929"
51,0.17313251845434163,0.15907548200069765,1.088367083832456,"FLPSX,IWM,MACSX,YACKX","0.3504517087562476,0.0620300543740691,0.15438820697353686,0.4331300298961464"
